id,lab_request_id,sample_id,reactor_test
197,138,217,True
198,140,208,True
199,141,208,True
200,142,222,True
201,142,223,True
202,142,224,True
203,143,220,True
204,143,221,True
205,144,225,True
206,145,225,True
207,146,236,True
208,147,232,True
209,148,231,True
210,149,233,True
211,150,237,True
212,151,234,True
213,152,230,True
214,153,226,True
215,154,201,True
216,155,242,True
217,156,243,True
218,156,244,True
219,157,238,True
220,158,256,True
221,159,228,True
222,159,229,True
223,160,218,True
224,160,219,True
225,151,235,True
226,161,245,True
227,161,246,True
228,162,245,True
229,162,246,True
230,163,259,True
231,165,261,True
232,165,262,True
233,167,240,True
234,168,241,True
235,169,216,True
236,170,226,True
237,171,247,True
238,172,188,True
239,173,265,True
240,173,266,True
241,174,267,True
242,175,264,True
243,176,271,True
244,177,269,True
245,178,14,True
246,178,15,True
247,178,272,True
248,178,273,True
249,179,287,True
250,179,288,True
251,179,289,True
252,180,270,True
253,181,277,True
254,182,276,True
255,183,297,True
256,184,296,True
257,185,279,True
258,186,279,True
259,187,290,True
260,189,293,True
261,189,294,True
262,189,295,True
263,189,291,True
264,189,292,True
265,190,302,True
266,190,303,True
267,190,304,True
268,190,305,True
269,191,301,True
270,192,237,False
271,193,279,False
272,195,319,True
273,196,322,True
274,197,318,True
275,198,298,True
276,199,325,True
277,199,326,False
278,200,320,True
279,201,327,True
280,202,323,True
281,203,324,True
283,205,335,True
284,206,336,True
285,207,337,True
286,208,340,True
287,210,368,True
288,211,367,True
289,212,291,True
290,213,359,True
291,214,292,True
292,215,294,True
297,217,290,False
298,217,293,False
299,217,294,False
300,217,295,False
301,217,291,False
302,217,292,False
303,218,357,True
304,218,358,True
307,219,361,True
308,219,362,True
309,220,360,True
310,222,342,True
311,223,366,True
312,224,371,True
313,224,372,True
314,226,373,True
315,226,374,True
316,227,384,True
317,227,385,True
318,228,376,True
319,228,377,True
320,228,378,True
321,229,376,True
322,229,377,True
323,229,378,True
324,230,386,True
325,230,387,True
326,231,329,True
327,231,331,True
328,231,332,True
329,231,333,True
330,231,334,True
331,232,392,True
332,235,394,True
333,236,399,True
334,237,393,True
335,238,395,True
336,239,278,True
337,240,396,True
338,241,367,False
339,241,368,False
340,242,404,True
341,243,401,False
342,243,402,False
343,244,400,True
344,245,401,True
345,246,410,True
346,247,397,True
347,247,398,True
348,248,405,True
349,249,406,True
350,250,416,False
351,251,407,True
352,251,408,True
353,252,409,True
354,253,420,True
355,254,417,True
356,255,421,True
357,256,422,True
358,257,425,True
365,258,427,True
366,258,428,True
367,258,426,True
368,261,432,True
369,262,429,True
370,262,430,True
371,263,439,True
372,263,441,True
373,265,425,True
374,264,438,True
375,266,437,True
376,267,423,True
377,267,424,True
378,268,418,True
379,269,447,True
380,270,457,True
381,271,448,True
382,272,449,True
383,273,446,True
384,274,459,True
385,275,444,True
386,275,445,True
387,276,450,True
388,276,451,True
389,277,452,True
398,279,471,True
399,279,472,True
400,279,473,True
401,279,474,True
402,279,475,True
403,279,476,True
404,279,477,True
405,279,478,True
406,280,479,True
407,280,480,True
408,280,481,True
409,280,482,True
410,280,483,True
411,280,484,True
412,280,485,True
413,280,486,True
414,281,149,True
415,281,147,True
416,281,148,True
417,282,495,True
418,282,496,True
419,282,497,True
420,282,498,True
421,282,499,True
422,282,500,True
423,283,503,True
424,283,504,True
425,284,505,True
426,284,506,True
427,284,507,True
428,284,508,True
429,285,502,True
430,286,501,True
431,287,512,True
432,289,516,True
433,289,517,True
434,289,518,True
435,289,519,True
436,289,520,True
437,289,521,True
438,290,522,True
439,291,442,True
440,292,443,True
441,293,460,True
442,294,525,True
443,295,526,True
