id,test_time,location_id,test_type_id,lab_request_sample_id
219,,5,4,298
220,,5,1,298
221,,5,7,299
222,,5,5,299
223,,5,4,299
224,,5,1,299
225,,5,7,300
226,,5,5,300
227,,5,4,300
228,,5,1,300
229,,5,7,301
230,,5,5,301
231,,5,4,301
232,,5,1,301
233,,5,7,302
234,,5,5,302
235,,5,4,302
236,,5,1,302
237,,5,8,302
250,,5,5,307
251,,3,5,307
252,,5,4,307
253,,3,4,307
254,,5,1,307
255,,3,1,307
256,,5,5,308
257,,3,5,308
258,,5,4,308
259,,3,4,308
260,,5,1,308
261,,3,1,308
262,,5,5,309
263,,3,5,309
264,,5,4,309
265,,3,4,309
266,,5,1,309
267,,3,1,309
268,,5,7,312
269,,5,5,312
270,,3,5,312
271,,5,1,312
272,,3,1,312
273,,5,7,313
274,,5,5,313
275,,3,5,313
276,,5,1,313
277,,3,1,313
278,,5,7,314
279,,5,5,314
280,,3,5,314
281,,5,1,314
282,,3,1,314
283,,5,7,315
284,,5,5,315
285,,3,5,315
286,,5,1,315
287,,3,1,315
288,,5,5,318
289,,3,5,318
290,,5,1,318
291,,3,1,318
292,,5,5,319
293,,3,5,319
294,,5,1,319
295,,3,1,319
296,,5,5,320
297,,3,5,320
298,,5,1,320
299,,3,1,320
300,,5,5,331
301,,3,5,331
302,,5,4,331
303,,3,4,331
304,,6,5,338
305,,2,5,338
306,,6,4,338
307,,2,4,338
308,,6,1,338
309,,2,1,338
310,,6,5,339
311,,2,5,339
312,,6,4,339
313,,2,4,339
314,,6,1,339
315,,2,1,339
316,,6,7,340
317,,6,5,340
318,,4,5,340
319,,2,5,340
320,,6,4,340
321,,4,4,340
322,,6,1,340
323,,4,1,340
324,,2,1,340
325,,5,5,341
326,,4,5,341
327,,3,5,341
328,,5,4,341
329,,4,4,341
330,,3,4,341
331,,5,1,341
332,,4,1,341
333,,3,1,341
334,,5,5,342
335,,4,5,342
336,,3,5,342
337,,5,4,342
338,,4,4,342
339,,3,4,342
340,,5,1,342
341,,4,1,342
342,,3,1,342
343,,1,5,350
344,,4,5,358
345,,4,4,358
346,,4,1,358
347,,5,5,387
348,,4,5,387
349,,5,1,387
350,,4,1,387
351,,5,5,388
352,,4,5,388
353,,5,1,388
354,,4,1,388
403,,5,5,398
404,,3,5,398
405,,5,4,398
406,,3,4,398
407,,5,1,398
408,,3,1,398
409,,5,5,399
410,,3,5,399
411,,5,4,399
412,,3,4,399
413,,5,1,399
414,,3,1,399
415,,5,5,400
416,,3,5,400
417,,5,4,400
418,,3,4,400
419,,5,1,400
420,,3,1,400
421,,5,5,401
422,,3,5,401
423,,5,4,401
424,,3,4,401
425,,5,1,401
426,,3,1,401
427,,5,5,402
428,,3,5,402
429,,5,4,402
430,,3,4,402
431,,5,1,402
