id,quantity,project_number,date_arrived,facility_id,unit_id
154,1,Dominion Energy- Brunswick ST,2024-04-30,53.0,3444.0
155,1,Dominion VA Power- Possum Point,2024-04-30,1488.0,3442.0
156,1,Dominion VA Power- Possum Point,2024-04-30,1488.0,3443.0
157,2,NV Energy- Tracy CC,2024-04-30,7.0,2874.0
158,1,NV Energy- Tracy CC,2024-04-30,7.0,2872.0
159,1,Veolia University of Minnesota,2024-05-03,1413.0,3740.0
160,1,Dominion Mt Storm,2024-05-06,14.0,41.0
161,1,Lagoon Creek Lane,2024-05-13,47.0,2303.0
162,1,Lagoon Creek Lane,2024-05-13,47.0,90.0
163,1,Sisu/Teco,2024-05-13,827.0,
164,1,Sisu/Teco,2024-05-13,,
165,1,Franklin,2024-05-20,558.0,731.0
166,1,Franklin,2024-05-14,558.0,731.0
167,1,Metcalf,2024-05-15,229.0,2463.0
168,1,EFI Channelview,2024-05-16,,
169,1,EFI Channelview,2024-05-16,,
170,1,Luna,2024-05-14,995.0,2435.0
171,1,Luna,2024-05-14,995.0,2436.0
172,1,Channelview,2024-05-22,1052.0,2521.0
173,1,Doswell,2024-05-30,1266.0,
174,1,DTE Atlantic,2024-04-29,1639.0,
175,1,Carr Street Generating Station,2024-05-22,1660.0,
176,1,University of Minnesota,2024-05-02,1413.0,
177,1,McDonough,2024-05-28,1484.0,3587.0
178,1,McDonough,2024-05-28,1484.0,3588.0
179,1,MvcDonough,2024-05-28,,
180,1,McDonough,2024-05-28,1484.0,3588.0
181,1,Zeeland,2024-06-04,64.0,155.0
182,1,Channelview,2024-05-16,1052.0,2522.0
183,1,Cove Point,2024-06-05,272.0,3646.0
184,1,Franklin,2024-05-14,558.0,
185,1,York 3 and 5,2024-04-30,242.0,
186,1,Lagoon Creek,2024-05-09,47.0,
187,1,Possum Point,2024-04-30,1488.0,3442.0
188,1,Russell City,2024-04-30,242.0,3257.0
189,1,Ocean State,2024-05-02,,
190,1,Ocean State,2024-05-02,,
191,1,Batesville,2024-06-10,1540.0,3568.0
192,1,Batesville,2024-06-10,1540.0,3568.0
193,1,Tung Hsiao,2024-06-04,433.0,
194,1,Sriacha,2024-06-17,,
195,1,Sriacha,2024-06-17,,
196,1,Sriracha,2024-05-13,1174.0,
197,1,Beaumont,2024-06-19,319.0,2049.0
199,1,Temple Generating,2024-05-13,993.0,2432.0
200,1,Temple Generating,2024-05-13,993.0,2434.0
201,1,York,2024-05-16,254.0,783.0
202,1,York,2024-05-16,254.0,784.0
203,1,Kendall Energy,2024-06-28,1479.0,
204,1,Eastman,2024-06-19,1377.0,3157.0
205,1,Protec Coating,2024-06-21,1665.0,3437.0
206,1,Roseville,2024-06-28,,
207,1,Roseville,2024-06-28,,
208,1,City of Roseville,2024-06-28,1473.0,
209,1,Barrick Goldstrike,2024-07-02,1573.0,5437.0
210,1,kendall,2024-07-11,1479.0,3421.0
211,1,Kendall Energy,2024-06-28,,
212,1,Eastman,2024-06-19,1377.0,3157.0
213,1,Kendall Energy,2024-06-28,1257.0,
214,1,Torrance,2024-07-27,873.0,2234.0
215,1,BASF,2024-07-29,887.0,
216,1,Cove Point,2024-07-30,,
217,1,Cove Point,2024-07-30,272.0,
218,1,Sriracha,2024-07-29,1174.0,2753.0
219,1,Sweeny,2024-07-29,283.0,208.0
220,1,Johnsonville,2024-08-06,37.0,70.0
221,1,independence Station,2024-08-22,1006.0,5330.0
222,1,Three Rivers,2024-08-22,,
223,1,Three Rivers,2024-08-22,469.0,2127.0
224,1,Lamont,2024-08-19,822.0,2188.0
225,2,Protec Coating,2024-08-29,1666.0,2426.0
226,1,Salt River,2024-08-30,1865.0,5369.0
227,2,Shintech,2024-09-03,,
228,2,Shintech,2024-09-03,431.0,778.0
229,1,independence Station,2024-08-22,1006.0,5329.0
230,1,Three Rivers,2024-08-22,,
231,1,Three Rivers,2024-08-22,469.0,2127.0
232,1,Lemont,2024-08-19,822.0,2188.0
233,1,Lemont,2024-08-19,822.0,2187.0
234,1,independence Station,2024-08-22,,
235,1,independence Station,2024-08-22,1006.0,5329.0
236,1,Independence,2024-08-22,,
237,1,independence Station,2024-08-22,1006.0,5329.0
238,1,independence Station,2024-08-22,1006.0,5329.0
239,1,independence Station,2024-08-22,1006.0,5330.0
240,1,Beaumont,2024-09-06,319.0,3599.0
241,1,Cope,2024-09-09,362.0,341.0
242,1,Taiyanggong,2024-09-13,1300.0,
243,1,Taiyanggong,2024-09-13,1300.0,
244,1,Jackson Genertion,2024-09-13,1401.0,3208.0
245,1,Jackson Genertion,2024-09-13,1401.0,3209.0
246,1,BAE,2024-09-27,321.0,
247,2,Cove Point,2024-09-26,272.0,203.0
248,2,Cove Point,2024-09-26,272.0,204.0
249,1,SGS,2024-09-27,,
250,1,Beaumont,2024-09-27,,
251,1,Beaumont,2024-09-27,319.0,2055.0
252,2,Cove Point,2024-09-13,,
253,1,Baytown,2024-10-07,418.0,742.0
254,1,Chocolate Bayou,2024-10-08,970.0,2378.0
255,1,Edwardsport,2024-10-09,102.0,5451.0
256,1,Westmoreland,2024-10-09,599.0,2079.0
257,1,Westmoreland,2024-10-09,599.0,2080.0
258,2,Cherry Point,2024-10-09,807.0,2175.0
259,2,Cherry Point,2024-10-09,807.0,2176.0
260,2,Cherry Point,2024-10-09,807.0,2176.0
261,1,Grand River,2024-10-10,644.0,901.0
262,1,Midtown,2024-10-10,1617.0,
263,1,Brunswick County,2024-10-11,53.0,105.0
264,1,Brunswick County,2024-10-11,53.0,3444.0
265,1,bru,2024-10-11,,
266,1,Brunswick County,2024-10-11,53.0,3544.0
267,1,Deer Creek,2024-10-16,1811.0,6616.0
268,1,Baytown Olefins,2024-10-16,716.0,3160.0
269,1,Channel Energy,2024-10-14,10.0,150.0
270,1,Phillips 66,2024-10-16,,
271,1,Wood River,2024-10-16,411.0,3174.0
272,1,Torrance,2024-10-16,873.0,2280.0
273,2,Constellation,2024-10-17,,
274,2,Hyperion,2024-10-17,1402.0,3214.0
275,2,Hyperion,2024-10-17,1402.0,3215.0
276,1,Bellingham,2024-10-18,,
277,1,Bellingham,2024-10-18,,
278,1,Bellingham,2024-10-18,866.0,2312.0
279,1,Waterford,2024-10-18,524.0,656.0
280,1,Waterford,2024-10-18,524.0,657.0
281,1,Waterford,2024-10-18,,
282,1,Waterford,2024-10-18,524.0,658.0
283,1,Casco Bay,2024-10-21,1653.0,3845.0
284,1,Casco Bay,2024-10-18,1653.0,3846.0
285,1,Cliffside,2024-10-23,,
286,1,Cliffside,2024-10-23,,
287,1,Cliffside,2024-10-23,,
288,1,Cliffside,2024-10-23,348.0,311.0
289,1,Franklin,2024-10-24,558.0,732.0
290,1,Long Beach,2024-10-24,,
291,1,Thums,2024-10-24,177.0,
292,1,Ferguson,2024-10-25,1136.0,2671.0
293,1,Ferguson,2024-10-25,1136.0,2672.0
294,1,fer,2024-10-25,,
295,1,Ferguson,2024-10-25,1136.0,2672.0
296,1,Silicon Valley,2024-10-10,,
297,1,Silicon Valley,2024-10-25,639.0,891.0
298,1,Silicon Valley,2024-10-25,639.0,892.0
299,1,J L Stall,2024-10-28,,
300,1,J L Stall,2024-10-28,927.0,2417.0
301,1,J L Stall,2024-10-28,927.0,2418.0
302,1,Channelview,2024-10-30,,
303,1,Channelview,2024-10-30,,
304,1,Channelview,2024-10-30,,
305,1,Channelview,2024-10-30,,
306,1,Channelview,2024-10-30,1052.0,2524.0
308,3,Cleco,2024-10-30,1949.0,6602.0
310,3,Cleco,2024-10-30,1949.0,6603.0
311,3,Cleco,2024-10-30,1949.0,6604.0
312,1,Halifax,2024-10-30,1695.0,3993.0
313,1,Greenville,2024-10-30,587.0,3671.0
314,1,Greenville,2024-10-30,587.0,3671.0
315,1,Greenville,2024-10-30,587.0,792.0
316,1,Greenville,2024-10-30,587.0,3508.0
317,1,Tenaska,2024-11-04,,
318,1,Virginia Generating Station,2024-11-04,512.0,632.0
319,1,DB Wilson,2024-11-01,1446.0,
320,1,Mountaineer,2024-10-04,,
321,1,Mountaineer,2024-10-04,1170.0,2744.0
322,1,Mountaineer,2024-11-06,,
323,1,Allen,2024-11-08,91.0,164.0
324,1,Allen,2024-11-08,91.0,165.0
325,1,Columbus Coating,2024-11-12,1318.0,3031.0
326,1,Fore River,2024-11-08,301.0,233.0
327,1,Port Comfort,2024-11-12,1532.0,
328,1,Port Comfort,2024-11-12,700.0,
329,4,Redbud,2024-11-13,,
330,4,Redbud,2024-11-12,1048.0,2516.0
331,1,Redbud,2024-11-12,1048.0,2517.0
332,1,Redbud,2024-11-14,1048.0,2517.0
333,1,Redbud,2024-11-12,1048.0,2517.0
334,1,Redb,2024-11-12,1048.0,2518.0
335,1,Redbud,2024-11-12,1048.0,2519.0
336,1,Monroe,2024-11-07,1067.0,2550.0
337,1,Monroe,2024-11-07,1067.0,2550.0
338,1,Monroe,2024-11-07,1067.0,2550.0
339,1,Sutter,2024-11-14,247.0,2685.0
340,1,Delta,2024-11-14,,
341,1,Delta,2024-11-14,208.0,2946.0
342,1,Channel Energy,2024-11-12,10.0,19.0
343,1,Nebo,2024-11-15,1788.0,5145.0
344,1,Los Esteros,2024-11-15,226.0,2956.0
345,1,Buck,2024-11-14,71.0,
346,0,Cliffside U6,2024-03-22,348.0,2641.0
347,1,,2024-10-15,,
348,1,,2024-10-15,,
349,1,,2024-10-15,,
350,1,Longview U1,2024-10-15,1425.0,3266.0
351,2,Oak Creek,2024-11-15,671.0,944.0
352,2,Oak Creek,2024-11-15,671.0,944.0
353,1,Gavin,2024-11-07,883.0,2982.0
354,1,Plum Point U1,2024-08-30,414.0,447.0
355,1,Keystone U1,2024-10-28,150.0,2472.0
356,1,Keystone U2,2024-10-28,150.0,2474.0
357,1,Pittsfield,2024-11-19,1862.0,5346.0
358,1,imperial,2024-11-21,,
359,1,Strathcona,2024-11-21,859.0,2220.0
360,1,imperial,2024-12-05,1862.0,5347.0
361,1,Pittsfield,2024-12-05,1862.0,5348.0
362,1,Beaumont,2024-12-03,319.0,2054.0
363,1,Baytown,2024-11-22,191.0,2936.0
364,1,Brunswick County,2024-11-21,53.0,3544.0
365,1,City of Lakeland,2024-11-15,602.0,823.0
366,1,Gilroy,2024-11-21,213.0,3218.0
367,1,York,2024-11-14,254.0,2453.0
368,2,Great Lakes,2024-11-26,,
369,2,Great Lakes,2024-11-26,,
370,2,Great Lakes,2024-11-26,,
371,2,Great Lakes,2024-11-26,300.0,3030.0
372,1,Weston,2024-11-20,338.0,297.0
373,1,Brandon Shores,2024-11-22,651.0,2998.0
374,1,Port Arthur,2024-12-11,451.0,5469.0
375,1,Ghent,2024-11-22,1212.0,2820.0
376,2,Cumberland,2024-12-04,44.0,77.0
377,2,Great Lakes,2024-11-26,300.0,229.0
378,1,Roseville,2024-11-15,1473.0,3403.0
379,1,Harding St,2024-11-20,351.0,315.0
380,1,Bear Garden,2024-12-13,1294.0,2993.0
381,1,Bear Garden,2024-12-13,1294.0,2994.0
382,1,Lansing,2024-12-13,,
383,1,Lansing,2024-12-13,1175.0,2755.0
384,1,Gilroy,2024-12-16,213.0,2110.0
385,1,Jasper Station,2024-12-13,1400.0,3205.0
386,1,Jasper Station,2024-12-13,1400.0,3206.0
387,1,Jasper Station,2024-12-13,1400.0,3207.0
388,1,Trimble U2,2024-12-22,1189.0,3413.0
389,1,Greenville,2025-01-03,587.0,792.0
390,1,Rockport,2024-01-04,1223.0,2844.0
391,0,Ghent 4 K 24-00239,2024-12-15,,
392,0,Ghent 4 K 24-00239,2024-12-12,1212.0,2820.0
393,1,Napanee,2024-01-10,,
397,1,Napanee,2024-01-10,62.0,152.0
398,1,Napanee,2024-01-10,,
399,1,Napanee,2025-01-10,62.0,156.0
400,1,Bethpage 1.1 CO only catalyst,2024-03-12,193.0,5438.0
401,1,Borger,2024-01-14,1225.0,3048.0
402,1,Warren County,2025-01-15,267.0,192.0
403,1,Warren County,2024-01-15,267.0,193.0
404,1,Warren County,2025-01-15,267.0,197.0
405,1,Hunterstown,2024-01-14,146.0,3590.0
406,1,Hunterstown,2025-01-14,146.0,3591.0
407,0,DTE Monroe,2024-01-17,1067.0,2550.0
408,1,Baytown,2025-01-21,418.0,455.0
409,1,Radford,2025-01-23,,
410,1,Radford,2025-01-23,321.0,266.0
411,1,Elm Road,2025-01-27,671.0,
412,1,Elm Road U1,2025-01-21,1089.0,2580.0
413,1,,2024-10-15,,
414,1,,2025-01-30,,
415,1,New Indy,2024-01-27,930.0,2315.0
416,1,Astoria,2024-02-07,436.0,5600.0
417,0,Wilf Hills,2025-02-12,1980.0,
418,0,Wolf Hills,2025-02-12,1980.0,
419,1,Santan,2025-02-19,444.0,606.0
420,1,Santan,2024-02-19,444.0,607.0
421,1,Santan,2025-02-19,444.0,525.0
422,1,Saguaro,2025-02-19,180.0,552.0
423,1,Union Power,2025-02-25,1032.0,2846.0
424,1,Union Power,2025-02-25,1032.0,2847.0
425,1,Delta Ducon,2025-02-24,1706.0,3980.0
426,1,Henrietta,2025-02-28,503.0,
427,1,Valero,2024-03-03,384.0,673.0
428,2,El Dorado,2025-03-05,290.0,216.0
429,1,Johnson Space Center,2025-03-04,588.0,793.0
