id,value,condition_id,reactor_parameter_id
501,2.1,208,9
502,1.0,208,10
503,19.22,209,1
504,19.2,209,7
505,10.0,209,8
506,10.0,209,9
507,1.0,209,10
508,17.596,210,1
509,17.6,210,7
510,1.0,210,8
511,1.0,210,9
512,1.0,210,10
513,233.0,211,1
514,2780.0,211,6
515,1.0,211,10
516,233.0,212,1
517,2781.0,212,6
518,63.5,213,1
519,0.98,213,10
520,345.0,214,1
521,28.0,214,5
522,2800.0,214,6
523,1.0,214,10
524,345.0,215,1
525,28.0,215,5
526,2800.0,215,6
527,350.0,216,1
528,725.0,216,6
529,1.0,216,10
530,350.0,217,1
531,725.0,217,6
532,100.0,218,7
533,58.2,219,1
534,1.095,219,10
535,30.7,220,1
536,1.3,220,10
537,1.195,221,1
538,1.195,221,10
539,100.0,222,7
540,363.0,223,1
541,15.0,223,5
542,2584.0,223,6
543,1.0,223,10
544,363.0,224,1
545,15.0,224,5
546,2584.0,224,6
547,300.0,225,1
548,2.0,225,5
549,248.0,225,6
550,1.0,225,10
551,300.0,226,1
552,2.0,226,5
553,248.0,226,6
554,100.0,227,7
555,15.64,228,1
556,26.09,228,7
557,1.323,228,10
558,7.92,229,1
559,100.0,229,7
560,1.3,229,10
561,388.0,230,1
562,3026.0,230,6
563,1.0,230,10
564,388.0,231,1
565,3026.0,231,6
566,320.0,232,1
567,1.0,232,10
568,1577.0,232,6
569,320.0,233,1
570,1577.0,233,6
571,25.0,234,1
572,0.76,234,10
573,32.6,235,1
574,1.309,235,10
575,18.0,236,1
576,0.922,236,10
577,15.64,237,1
578,26.09,237,7
579,1.323,237,10
580,7.92,238,1
581,100.0,238,7
582,1.3,238,10
583,404.0,239,1
584,3166.0,239,6
585,1.0,239,10
586,404.0,240,1
587,3166.0,240,6
588,197.0,241,1
589,1760.0,241,6
590,1.0,241,10
591,197.0,242,1
592,1760.0,242,6
593,305.0,243,1
594,17.0,243,5
595,1768.0,243,6
596,1.0,243,10
597,305.0,244,1
598,17.0,244,5
599,1768.0,244,6
600,262.0,245,1
601,28.0,245,5
602,2800.0,245,6
603,1.0,245,10
604,262.0,246,1
605,28.0,246,5
606,2800.0,246,6
607,262.0,247,1
608,28.0,247,5
609,2800.0,247,6
610,1.0,247,10
611,49.2,248,1
612,1.162,248,10
613,391.0,249,1
614,2100.0,249,6
615,1.0,249,10
616,391.0,250,1
617,2100.0,250,6
618,404.0,251,1
619,1.0,251,10
620,230.6,252,1
621,0.944,252,10
622,215.33,253,1
623,0.972,253,10
624,304.0,254,1
625,2642.0,254,6
626,1.0,254,10
627,304.0,255,1
628,2642.0,255,6
629,35.41,256,1
630,1.01,256,10
631,28.96,257,1
632,1.121,257,10
633,15.45,258,1
634,1.556,258,10
635,140.0,259,7
636,322.9,260,1
637,3761.4,260,6
638,1.0,260,10
639,322.9,261,1
640,3761.4,261,6
641,37.2,262,1
642,100.0,262,7
643,110.0,263,1
644,631.0,263,6
645,1.0,263,10
646,7.9,264,1
647,13.2,264,7
648,1.3,264,8
649,1.3,264,9
650,1.333,264,10
651,7.9,265,1
652,13.2,265,7
653,10.0,265,8
654,10.0,265,9
655,1.33,265,10
656,30.6,266,1
657,1.186,266,10
658,63.5,267,1
659,0.976,267,10
660,23.0,268,1
661,1.22,268,10
662,287.0,269,1
663,677.0,269,6
664,1.0,269,10
665,287.0,270,1
666,15.0,270,3
667,677.0,270,6
668,0.9,270,10
671,80.0,270,18
672,167.0,271,1
673,1.0,271,10
674,41.97,272,1
675,884.4,272,7
676,449.0,272,12
677,10.1,272,16
678,12.34,272,17
679,0.764,273,1
680,14.516,273,2
681,0.84,273,10
682,285.9,273,12
683,3.02,273,16
684,19.1,273,17
685,34.09,274,1
686,361.54,274,12
687,5.88,274,16
688,13.45,274,17
689,2.05,275,1
690,38.95,275,2
691,0.84,275,10
692,293.0,275,12
693,5.76,275,16
694,16.1,275,17
695,376.67,276,12
696,26.92,276,16
697,2.22,276,17
698,73.06,276,1
699,1.011,276,10
700,376.67,277,12
701,26.92,277,16
702,2.22,277,17
703,73.06,277,1
704,390.56,278,12
705,17.92,278,16
706,3.0,278,17
707,40.01,278,1
708,0.918,278,10
709,390.56,279,12
710,17.92,279,16
711,3.0,279,17
712,40.01,279,1
713,372.0,280,12
714,10.6,280,16
715,11.3,280,17
716,169.0,280,1
717,201.0,280,7
718,10.0,280,8
719,10.0,280,9
720,372.0,281,12
721,10.6,281,16
722,11.3,281,17
723,169.0,281,1
724,201.0,281,7
725,10.0,281,8
726,10.0,281,9
727,372.0,282,12
728,10.6,282,16
729,11.3,282,17
730,14.8,283,1
731,24.7,283,7
732,0.7,283,8
733,0.7,283,9
734,15.06,283,17
735,6.2,283,16
736,397.2,285,12
737,24.94,285,1
738,0.2,285,6
739,47.2,285,7
740,2.4,285,8
741,2.4,285,9
742,12.04,285,17
743,10.0,285,16
744,442.0,292,12
745,10.4,292,16
746,14.5,292,17
747,25.0,292,1
748,1.36,292,10
749,415.0,308,1
750,2369.0,308,6
751,1.0,308,10
752,415.0,312,1
753,2369.0,312,6
754,100.0,315,7
755,363.0,316,1
756,15.0,316,5
757,2584.0,316,6
758,1.0,316,10
759,363.0,317,1
760,15.0,317,5
761,2584.0,317,6
762,22.13,323,1
763,1.0,323,10
764,25.0,332,1
765,1.36,332,10
766,100.0,333,7
767,100.0,334,7
768,25.0,360,1
769,1.1,360,10
770,30.9,369,1
771,1.1,369,10
772,216.0,370,1
773,2825.0,370,6
774,1.0,370,10
775,216.0,371,1
776,2825.0,371,6
777,300.0,372,1
780,100.0,372,7
781,36.1,373,1
782,1.22,373,10
783,215.0,374,1
784,3045.0,374,6
785,1.0,374,10
786,215.0,375,1
787,3045.0,375,6
788,25.0,399,1
789,1.36,399,10
790,387.2,428,12
791,12.07,428,16
792,3.47,428,17
793,308.0,428,6
794,3.1,428,5
795,331.6,428,1
796,0.906,428,10
797,100.0,469,7
798,116.0,470,1
799,0.994,470,10
800,260.0,471,1
801,0.958,471,10
802,32.22,472,1
803,1.152,472,10
804,165.0,473,1
805,2036.0,473,6
806,1.0,473,10
807,165.0,474,1
808,2036.0,474,6
809,188.0,475,1
810,198.0,475,6
811,1.0,475,10
812,188.0,476,1
813,2.0,476,5
814,198.0,476,6
815,0.959,372,10
816,64.44,477,1
817,100.0,477,7
818,0.978,477,10
819,300.0,478,1
820,248.0,478,6
821,1.0,478,10
822,300.0,479,1
823,2.0,479,5
824,248.0,479,6
825,211.0,480,1
826,2100.0,480,6
827,1.0,480,10
828,211.0,481,1
829,21.0,481,5
830,2100.0,481,6
831,277.0,482,1
832,2775.0,482,6
833,1.0,482,10
834,277.0,483,1
835,2775.0,483,6
836,100.0,487,7
837,10.7,488,1
838,1.327,488,10
839,442.0,493,12
840,10.4,493,16
841,14.5,493,17
842,25.0,493,1
843,1.36,493,10
844,320.0,505,12
845,7.0,505,16
846,15.0,505,17
847,25.0,505,1
848,1.1,505,10
849,320.0,507,12
850,7.0,507,16
851,15.0,507,17
852,25.0,507,1
853,1.1,507,10
854,320.0,511,12
855,7.0,511,16
856,15.0,511,17
857,25.0,511,1
858,1.1,511,10
859,293.0,513,12
860,5.76,513,16
861,16.1,513,17
862,2.05,513,1
863,38.95,513,2
864,0.84,513,10
865,320.0,515,12
866,7.0,515,16
867,15.0,515,17
868,25.0,515,1
869,1.1,515,10
870,442.0,524,12
871,10.4,524,16
872,14.5,524,17
873,25.0,524,1
874,1.36,524,10
875,320.0,534,12
876,7.0,534,16
877,15.0,534,17
878,25.0,534,1
879,1.1,534,10
880,1420.26,547,1
881,100.0,547,6
882,0.809,547,10
883,55.5,548,1
884,0.865,548,10
